,bhid,from,to,x,y,z,al2o3_gl,cao_gl,fe_gl,mgo_gl,mn_gl,p_gl,sio2_gl,tio2_gl,ppc_gl,lito,lito_eval,lito_ds,lito_km,lito_ag
0,CNFDC14001          ,16.92,28.7,612565.19,7738514.56,1301.43,2.74,0.03,61.0,0.05,0.1,0.082,9.08,0.28,0.03,IS,IR,IR,IR,IR
1,CNFDC14001          ,28.7,40.48,612560.42,7738513.3,1290.74,2.57,0.03,61.179,0.05,0.082,0.061,7.789,0.172,1.249,IS,IR,IR,IR,IR
2,CNFDC14001          ,40.48,52.26,612555.65,7738512.04,1280.04,3.01,0.03,61.676,0.05,0.072,0.05,6.205,0.223,1.374,IS,IR,IR,IR,HM
3,CNFDC14001          ,65.75,75.58,612545.82,7738509.44,1257.98,1.72,0.04,64.9,0.05,0.04,0.053,2.86,0.13,1.1,HM,HM,IR,HM,HM
4,CNFDC14001          ,75.58,85.41,612541.84,7738508.39,1249.05,1.166,0.05,66.187,0.05,0.426,0.071,2.721,0.061,1.08,HM,HM,IR,HM,HM
5,CNFDC14001          ,85.41,101.6,612536.57,7738507.0,1237.23,2.575,0.055,58.748,0.1,4.341,0.347,2.83,0.16,4.785,IG,IR,IR,IR,HM
6,CNFDC14002          ,0.0,13.7,612562.07,7738470.67,1316.93,3.063,0.034,41.786,0.05,0.031,0.03,35.679,0.149,1.378,IS,IS,IS,IG,IS
7,CNFDC14002          ,13.7,27.4,612556.87,7738469.18,1304.34,3.735,0.04,36.77,0.05,0.05,0.049,40.794,0.183,1.93,IS,IS,IS,IG,IS
8,CNFDC14002          ,27.4,41.1,612551.67,7738467.7,1291.75,2.406,0.035,44.351,0.05,0.05,0.05,31.505,0.13,1.506,IS,IS,IS,IG,IG
9,CNFDC14002          ,41.1,54.8,612546.47,7738466.21,1279.17,2.857,0.03,53.868,0.05,0.069,0.16,17.721,0.291,2.213,IS,IS,IR,IG,IM
10,CNFDC14002          ,54.8,70.6,612540.87,7738464.61,1265.61,1.001,0.043,63.255,0.05,0.05,0.089,7.807,0.096,1.103,IR,IR,IR,IR,HM
11,CNFDC14002          ,70.6,86.4,612534.87,7738462.9,1251.1,1.348,0.056,63.776,0.05,0.606,0.082,5.29,0.087,1.784,IR,IR,IR,IR,HM
12,CNFDC14002          ,86.4,100.23,612529.25,7738461.29,1237.49,3.047,0.045,58.711,0.116,3.717,0.248,4.041,0.155,4.316,IM,IR,IR,IR,HM
13,CNFDC14003          ,0.0,13.0,612529.34,7738513.04,1318.1,1.66,0.06,61.7,0.05,0.06,0.096,7.8,0.13,1.73,IR,IR,IR,IR,IR
14,CNFDC14003          ,13.0,26.0,612522.92,7738511.82,1306.86,1.53,0.05,63.9,0.05,0.5,0.045,4.41,0.14,1.05,IR,IR,IR,HM,HM
15,CNFDC14003          ,26.0,36.0,612517.23,7738510.79,1296.92,0.89,0.12,67.1,0.05,0.05,0.042,2.49,0.1,0.48,HM,HM,IR,HM,HM
16,CNFDC14003          ,36.0,47.15,612511.96,7738509.85,1287.8,1.23,0.04,62.6,0.05,3.83,0.075,1.65,0.08,2.82,IM,IR,IR,IR,HM
17,CNFDC14003          ,47.15,60.767,612505.78,7738508.76,1277.13,1.437,0.033,64.91,0.05,1.431,0.142,1.536,0.091,2.496,HM,HM,IR,HM,HM
18,CNFDC14003          ,60.767,74.383,612498.94,7738507.56,1265.41,0.394,0.046,68.982,0.05,0.088,0.044,0.561,0.03,0.548,HM,HM,HM,HM,HM
19,CNFDC14003          ,74.383,88.0,612492.04,7738506.36,1253.73,0.258,0.03,68.944,0.05,0.03,0.035,0.555,0.021,0.376,HM,HM,HM,HM,HM
20,CNFDC14003          ,88.0,100.0,612485.49,7738505.22,1242.78,0.33,0.05,69.5,0.05,0.02,0.024,0.46,0.01,0.06,HM,HM,HM,HM,HM
21,CNFDC14003          ,100.0,112.0,612479.23,7738504.09,1232.61,0.248,0.087,69.775,0.05,0.02,0.032,0.368,0.01,0.088,HM,HM,HM,HM,HM
22,CNFDC14003          ,112.0,124.0,612472.85,7738502.95,1222.51,0.29,0.065,69.383,0.05,0.02,0.023,0.393,0.01,0.073,HM,HM,HM,HM,HM
23,CNFDC14003          ,124.0,139.135,612465.55,7738501.68,1211.15,0.601,0.033,68.882,0.05,0.017,0.033,1.387,0.013,0.244,HM,HM,HM,HM,HM
24,CNFDC14003          ,139.135,154.27,612457.3,7738500.25,1198.54,0.729,0.039,68.171,0.05,0.011,0.026,2.207,0.019,0.403,HM,HM,IR,HM,HM
25,CNFDC14003          ,154.27,167.27,612449.51,7738498.88,1186.91,0.65,0.03,59.4,0.05,0.03,0.016,14.3,0.005,0.4,IR,IR,IR,IR,IR
26,CNFDC14004          ,31.0,41.75,612506.02,7738446.84,1301.88,2.359,0.022,61.806,0.061,0.165,0.085,7.359,0.14,2.305,IR,IR,IR,IR,IR
27,CNFDC14004          ,47.6,61.173,612498.21,7738445.41,1285.72,0.999,0.04,65.772,0.073,0.027,0.052,2.589,0.05,0.782,HM,HM,IR,HM,HM
28,CNFDC14004          ,61.173,74.747,612492.32,7738444.34,1273.54,0.661,0.026,67.144,0.05,0.025,0.052,1.485,0.026,0.674,HM,HM,IR,HM,HM
29,CNFDC14004          ,74.747,88.32,612486.43,7738443.26,1261.36,0.399,0.051,66.756,0.05,0.02,0.042,1.76,0.02,0.417,HM,HM,IR,HM,HM
30,CNFDC14004          ,94.25,104.25,612478.74,7738441.86,1245.45,0.67,0.01,62.4,0.05,0.02,0.02,10.2,0.02,0.41,IR,IR,IR,IR,HM
31,CNFDC14005          ,0.0,13.0,612542.87,7738416.71,1328.51,2.23,0.02,43.8,0.05,0.04,0.027,33.1,0.16,1.12,IS,IS,IS,IG,IG
32,CNFDC14005          ,52.0,62.0,612520.96,7738411.14,1283.35,2.18,0.05,61.9,0.13,1.06,0.125,4.29,0.12,2.79,IM,IR,IR,IR,HM
33,CNFDC14005          ,62.0,73.28,612516.34,7738409.97,1273.84,1.418,0.035,65.688,0.121,0.041,0.079,1.607,0.078,1.181,HM,HM,IR,HM,HM
34,CNFDC14005          ,76.31,88.55,612509.92,7738408.34,1260.61,0.67,0.02,68.9,0.13,0.02,0.032,0.8,0.03,0.54,HM,HM,HM,HM,HM
35,CNFDC14005          ,99.0,112.7,612499.76,7738405.76,1239.67,0.497,0.01,48.522,0.05,0.019,0.046,30.636,0.019,0.764,IS,IS,IR,IG,IG
36,CNFDC14005          ,112.7,126.4,612493.82,7738404.25,1227.42,0.26,0.01,41.5,0.05,0.01,0.028,40.6,0.005,0.47,IS,IS,IS,IS,IS
37,CNFDC14006          ,9.56,24.5,612500.19,7738408.17,1321.17,1.543,0.046,65.455,0.05,0.028,0.04,3.934,0.112,1.08,HM,HM,IR,HM,HM
38,CNFDC14006          ,31.4,50.83,612489.57,7738405.5,1299.72,0.607,0.04,68.868,0.05,0.02,0.038,1.079,0.033,0.62,HM,HM,HM,HM,HM
39,CNFDC14006          ,50.83,61.465,612482.94,7738403.84,1286.33,0.39,0.07,40.6,0.05,0.02,0.023,39.6,0.005,0.21,IS,IS,IS,IS,IS
40,CNFDC14007          ,0.0,12.601,612352.68,7738507.24,1392.86,0.78,0.04,68.3,0.1,0.02,0.019,1.2,0.03,0.33,HM,HM,HM,HM,HM
41,CNFDC14007          ,12.601,25.202,612348.03,7738506.17,1381.2,0.664,0.03,69.075,0.052,0.01,0.02,0.638,0.02,0.282,HM,HM,HM,HM,HM
42,CNFDC14007          ,25.202,37.803,612343.37,7738505.1,1369.54,0.641,0.03,67.976,0.05,0.01,0.021,0.423,0.048,0.186,HM,HM,HM,HM,HM
43,CNFDC14007          ,37.803,50.404,612338.71,7738504.02,1357.88,0.468,0.021,69.167,0.05,0.019,0.026,0.238,0.014,0.415,HM,HM,HM,HM,HM
44,CNFDC14007          ,50.404,63.006,612334.05,7738502.95,1346.22,0.223,0.02,69.649,0.05,0.02,0.024,0.194,0.027,0.283,HM,HM,HM,HM,HM
45,CNFDC14007          ,63.006,75.607,612329.39,7738501.88,1334.56,0.518,0.02,67.848,0.05,0.012,0.018,0.451,0.03,0.336,HM,HM,HM,HM,HM
46,CNFDC14007          ,75.607,88.208,612324.73,7738500.81,1322.9,0.726,0.017,67.935,0.05,0.021,0.02,0.621,0.018,0.449,HM,HM,HM,HM,HM
47,CNFDC14007          ,88.208,100.809,612320.07,7738499.73,1311.24,0.613,0.017,65.174,0.05,0.016,0.021,4.433,0.005,0.312,HM,HM,IR,HM,HM
48,CNFDC14007          ,100.809,113.41,612315.42,7738498.66,1299.58,0.683,0.02,65.268,0.05,0.017,0.043,4.635,0.005,0.644,HM,HM,IR,HM,HM
49,CNFDC14008          ,0.0,13.0,612349.35,7738703.35,1393.6,1.39,0.04,68.0,0.05,0.04,0.148,0.93,0.1,1.26,HM,HM,HM,HM,HM
50,CNFDC14009          ,0.0,12.52,612346.51,7738632.25,1393.66,0.78,0.04,69.0,0.05,0.03,0.039,0.51,0.04,0.6,HM,HM,HM,HM,HM
51,CNFDC14009          ,12.52,25.04,612341.17,7738632.88,1382.35,1.242,0.04,68.038,0.05,0.049,0.067,0.904,0.136,1.033,HM,HM,HM,HM,HM
52,CNFDC14009          ,25.04,37.56,612335.84,7738633.51,1371.04,1.168,0.04,65.599,0.105,2.414,0.17,0.421,0.103,1.216,HM,HM,HM,HM,HM
53,CNFDC14010          ,0.0,12.667,612445.8,7738767.57,1369.25,1.37,0.08,67.6,0.11,0.32,0.07,1.05,0.07,0.79,HM,HM,HM,HM,HM
54,CNFDC14010          ,12.667,25.333,612440.87,7738766.75,1357.61,0.912,0.041,67.6,0.052,0.495,0.125,0.417,0.06,0.644,HM,HM,HM,HM,HM
55,CNFDC14010          ,25.333,38.0,612435.94,7738765.94,1345.97,0.853,0.04,67.979,0.05,0.5,0.079,0.589,0.079,0.536,HM,HM,HM,HM,HM
56,CNFDC14010          ,38.0,50.667,612431.02,7738765.13,1334.33,1.974,0.04,66.434,0.096,0.564,0.309,0.572,0.071,1.267,HM,HM,HM,HM,HM
57,CNFDC14010          ,50.667,63.333,612426.09,7738764.32,1322.69,1.345,0.085,66.568,0.055,1.134,0.242,0.651,0.097,1.607,HM,HM,HM,HM,HM
58,CNFDC14010          ,63.333,76.0,612421.16,7738763.51,1311.05,1.199,0.047,67.295,0.05,0.67,0.134,0.573,0.1,1.353,HM,HM,HM,HM,HM
59,CNFDC14010          ,76.0,86.75,612416.6,7738762.76,1300.29,2.234,0.05,61.372,0.082,3.019,0.162,1.581,0.237,2.958,IG,IR,IR,IR,HM
60,CNFDC14010          ,86.75,98.7,612412.19,7738762.03,1289.86,1.194,0.04,66.903,0.116,0.582,0.048,1.276,0.08,0.908,HM,HM,HM,HM,HM
61,CNFDC14011          ,0.0,13.0,612393.2,7738765.23,1370.74,1.98,0.02,64.9,0.05,0.07,0.032,2.27,0.08,1.1,HM,HM,HM,HM,HM
62,CNFDC14011          ,13.0,26.0,612388.02,7738763.67,1358.92,1.43,0.02,66.9,0.05,0.38,0.327,0.21,0.05,0.69,HM,HM,HM,HM,HM
63,CNFDC14011          ,26.0,37.925,612383.05,7738762.17,1347.59,1.799,0.051,60.172,0.105,5.687,0.225,0.941,0.223,2.9,IM,IR,IR,IR,HM
64,CNFDC14011          ,37.925,49.85,612378.29,7738760.73,1336.75,3.586,0.016,59.047,0.06,1.558,0.146,7.114,0.196,2.987,IM,IR,IR,IR,HM
65,CNFDC14012          ,0.0,12.19,612379.49,7738697.6,1378.72,0.3,0.03,68.6,0.05,0.05,0.048,0.16,0.04,0.23,HM,HM,HM,HM,HM
66,CNFDC14012          ,12.19,24.38,612374.36,7738695.49,1367.86,1.14,0.039,67.573,0.05,0.134,0.146,0.188,0.04,0.846,HM,HM,HM,HM,HM
67,CNFDC14012          ,24.38,36.57,612369.23,7738693.39,1357.01,2.466,0.031,65.159,0.05,0.097,0.14,1.638,0.239,1.8,HM,HM,HM,HM,HM
68,CNFD13001           ,125.31,138.31,612976.16,7737790.63,1178.97,2.75,0.06,32.4,0.19,1.2,0.045,46.9,0.22,2.44,IM,IM,IS,IG,IS
69,CNFD13001           ,138.31,150.1,612969.95,7737789.17,1168.34,3.11,0.06,24.5,0.05,0.12,0.069,60.1,0.19,1.87,IS,IS,IS,IG,IS
70,CNFD13002           ,35.02,48.02,613015.47,7737887.02,1258.75,8.83,0.06,34.9,0.05,0.11,0.111,35.0,0.44,6.14,IG,IG,IM,IM,IM
71,CNFD13002           ,48.02,61.02,613008.92,7737886.19,1247.55,7.87,0.05,28.1,0.05,0.05,0.071,46.2,0.46,5.08,IG,IG,IM,IM,IM
72,CNFD13002           ,87.02,99.686,612989.36,7737883.53,1214.11,1.35,0.04,29.5,0.05,0.02,0.028,54.5,0.08,0.89,IS,IS,IS,IS,IS
73,CNFD13002           ,99.686,112.352,612982.92,7737882.52,1203.24,2.061,0.059,32.713,0.05,0.088,0.046,49.632,0.138,1.64,IS,IS,IS,IG,IS
74,CNFD13002           ,112.352,125.018,612976.45,7737881.43,1192.42,2.648,0.079,29.769,0.05,0.118,0.058,52.626,0.131,1.793,IS,IS,IS,IG,IS
75,CNFD13002           ,125.018,137.684,612970.01,7737880.21,1181.57,1.873,0.066,27.821,0.05,0.062,0.038,57.201,0.086,1.122,IS,IS,IS,IS,IS
76,CNFD13002           ,137.684,150.35,612963.63,7737878.87,1170.72,1.054,0.047,36.436,0.09,0.348,0.061,45.562,0.048,1.064,IS,IS,IS,IS,IS
77,CNFD13002           ,153.72,168.16,612954.96,7737876.86,1156.32,1.29,0.06,37.55,0.05,0.62,0.101,41.995,0.145,1.905,IS,IS,IS,IG,IG
78,CNFD13002           ,229.9,239.74,612916.14,7737866.48,1094.33,0.697,0.06,47.009,0.05,0.015,0.024,31.455,0.045,0.266,IS,IS,IS,IG,IG
79,CNFD13002           ,239.74,253.982,612909.68,7737864.66,1084.34,0.31,0.059,31.489,0.05,0.011,0.175,54.549,0.019,-0.049,IS,IS,IS,IS,IS
80,CNFD13002           ,253.982,268.224,612902.08,7737862.35,1072.52,0.194,0.048,37.01,0.05,0.02,0.018,48.088,0.009,-0.037,IS,IS,IS,IS,IS
81,CNFD13002           ,268.224,282.466,612894.46,7737859.9,1060.74,0.12,0.04,38.409,0.05,0.02,0.014,44.974,0.005,-0.044,IS,IS,IS,IS,IS
82,CNFD13002           ,282.466,296.708,612886.75,7737857.3,1049.05,0.137,0.043,35.56,0.05,0.023,0.016,48.409,0.007,-0.082,IS,IS,IS,IS,IS
83,CNFD13002           ,296.708,310.95,612878.95,7737854.56,1037.45,0.136,0.043,38.909,0.05,0.043,0.011,43.371,0.007,-0.064,IS,IS,IS,IS,IS
84,CNFD13003           ,166.98,179.837,612952.17,7737782.46,1145.43,0.462,0.022,36.659,0.05,0.023,0.017,46.869,0.022,0.374,IS,IS,IS,IS,IS
85,CNFD13003           ,179.837,192.693,612945.6,7737780.59,1134.54,1.467,0.03,40.669,0.05,0.062,0.036,39.652,0.07,1.012,IS,IS,IS,IG,IG
86,CNFD13003           ,192.693,205.55,612939.04,7737778.66,1123.65,1.351,0.037,32.272,0.05,0.063,0.04,51.44,0.08,0.973,IS,IS,IS,IS,IS
87,CNFD13003           ,220.46,236.67,612923.85,7737773.96,1098.87,0.577,0.04,31.569,0.05,0.05,0.012,53.617,0.02,0.458,IS,IS,IS,IS,IS
88,CNFD13003           ,236.67,252.88,612915.53,7737771.23,1085.24,0.314,0.034,37.237,0.05,0.038,0.019,45.522,0.011,0.393,IS,IS,IS,IS,IS
89,CNFD13003           ,252.88,266.317,612907.74,7737768.57,1072.91,0.207,0.03,36.004,0.05,0.03,0.014,48.3,0.005,0.281,IS,IS,IS,IS,IS
90,CNFD13003           ,266.317,279.753,612900.52,7737765.97,1061.88,0.149,0.031,40.596,0.05,0.039,0.015,41.616,0.005,0.299,IS,IS,IS,IS,IS
91,CNFD13003           ,279.753,293.19,612893.27,7737763.26,1050.89,0.237,0.029,36.713,0.05,0.037,0.016,48.203,0.005,0.226,IS,IS,IS,IS,IS
92,CNFD13003           ,293.19,306.627,612886.04,7737760.52,1039.9,0.21,0.02,37.376,0.05,0.05,0.015,46.19,0.005,0.251,IS,IS,IS,IS,IS
93,CNFD13003           ,306.627,320.063,612878.82,7737757.77,1028.91,0.148,0.02,37.166,0.05,0.044,0.012,46.791,0.005,0.205,IS,IS,IS,IS,IS
94,CNFD13003           ,320.063,333.5,612871.61,7737755.02,1017.92,0.169,0.02,37.635,0.05,0.04,0.013,46.014,0.005,0.216,IS,IS,IS,IS,IS
95,CNFD13004           ,131.0,143.2,612979.59,7737497.66,1150.01,2.343,0.03,30.019,0.05,0.348,0.049,51.477,0.135,1.728,IS,IS,IS,IG,IS
96,CNFD13004           ,143.2,155.4,612973.76,7737496.47,1139.36,2.302,0.025,31.074,0.083,0.058,0.025,52.032,0.128,1.288,IS,IS,IS,IG,IS
97,CNFD13004           ,155.4,167.6,612967.86,7737495.21,1128.75,4.338,0.035,33.183,0.064,0.156,0.028,44.947,0.242,2.365,IS,IS,IS,IG,IS
98,CNFD13004           ,171.24,183.8,612960.01,7737493.39,1114.91,2.75,0.03,30.6,0.05,0.21,0.062,48.6,0.23,3.75,IG,IG,IS,IG,IS
99,CNFD13004           ,183.8,197.343,612953.56,7737491.79,1103.68,2.239,0.031,36.271,0.05,0.02,0.009,44.837,0.127,1.081,IS,IS,IS,IG,IS
100,CNFD13004           ,197.343,210.886,612946.9,7737490.11,1092.0,1.206,0.049,30.88,0.05,0.01,0.005,55.092,0.058,0.614,IS,IS,IS,IS,IS
101,CNFD13004           ,210.886,224.429,612940.11,7737488.34,1080.42,0.683,0.04,32.125,0.05,0.01,0.003,52.411,0.029,0.413,IS,IS,IS,IS,IS
102,CNFD13004           ,224.429,237.972,612932.97,7737486.48,1069.06,0.52,0.038,35.045,0.05,0.01,0.002,49.482,0.018,0.266,IS,IS,IS,IS,IS
103,CNFD13004           ,237.972,251.515,612925.58,7737484.61,1057.87,0.713,0.03,35.886,0.05,0.01,0.004,47.358,0.039,0.346,IS,IS,IS,IS,IS
104,CNFD13004           ,251.515,265.058,612918.07,7737482.77,1046.75,0.998,0.038,27.144,0.05,0.018,0.007,59.214,0.07,0.53,IS,IS,IS,IS,IS
105,CNFD13004           ,265.058,278.601,612910.55,7737480.96,1035.64,0.943,0.04,28.439,0.05,0.037,0.02,57.486,0.062,0.797,IS,IS,IS,IS,IS
106,CNFD13004           ,278.601,292.144,612903.04,7737479.19,1024.51,0.949,0.031,28.384,0.05,0.031,0.022,57.316,0.051,0.824,IS,IS,IS,IS,IS
107,CNFD13004           ,292.144,305.687,612895.54,7737477.43,1013.37,0.784,0.048,29.404,0.05,0.048,0.021,57.676,0.059,0.673,IS,IS,IS,IS,IS
108,CNFD13004           ,305.687,319.23,612888.05,7737475.68,1002.22,0.482,0.04,32.476,0.05,0.088,0.049,51.557,0.022,0.958,IS,IS,IM,IS,IS
109,CNFD13004           ,319.23,331.5,612880.91,7737474.02,991.6,0.63,0.06,30.8,0.05,1.87,0.103,48.8,0.04,2.29,IM,IM,IM,IS,IS
110,CNFD13005           ,133.65,146.83,612973.81,7738210.36,1179.84,6.994,0.072,42.272,0.204,7.559,0.247,11.772,0.561,7.798,IM,IM,IR,IM,IM
111,CNFD13005           ,146.83,160.01,612966.72,7738208.57,1168.87,10.698,0.237,26.267,0.486,9.769,0.631,23.713,0.618,10.572,IM,IM,IC,IM,IM
112,CNFD13005           ,160.01,173.19,612959.58,7738206.79,1157.94,3.507,0.128,42.232,0.351,12.883,0.698,8.201,0.19,10.331,IM,IM,IC,IM,IM
113,CNFD13005           ,173.19,186.37,612952.35,7738204.97,1147.07,3.604,0.088,26.392,0.145,3.033,0.149,51.846,0.197,3.248,IM,IM,IS,IM,IM
114,CNFD13005           ,186.37,199.55,612945.06,7738203.12,1136.24,2.434,0.05,23.486,0.05,1.194,0.062,60.931,0.129,1.757,IM,IM,IS,IS,IS
115,CNFD13005           ,199.55,213.975,612937.41,7738201.14,1124.93,0.16,0.05,38.293,0.05,0.025,0.01,45.247,0.02,-0.22,IS,IS,IS,IS,IS
116,CNFD13005           ,213.975,228.4,612929.4,7738199.06,1113.11,1.182,0.04,27.332,0.05,0.14,0.04,59.326,0.087,0.703,IS,IS,IS,IS,IS
117,CNFD13006           ,0.0,10.47,612386.54,7738980.94,1512.77,0.82,0.06,67.3,0.05,0.01,0.04,1.09,0.05,0.47,HM,HM,HM,HM,HM
118,CNFD13006           ,10.47,20.97,612382.9,7738984.54,1503.62,1.03,0.09,67.6,0.05,0.01,0.07,0.64,0.05,1.27,HM,HM,HM,HM,HM
119,CNFD13006           ,20.97,31.47,612379.26,7738988.14,1494.46,0.443,0.044,68.438,0.05,0.01,0.033,1.189,0.042,0.523,HM,HM,HM,HM,HM
120,CNFD13007           ,27.93,40.89,612542.23,7737595.1,1359.57,0.19,0.02,46.1,0.05,0.03,0.032,33.1,0.01,1.8,IS,IS,IS,IG,IG
121,CNFD13007           ,40.89,53.85,612536.2,7737593.12,1348.27,0.11,0.02,37.227,0.05,0.01,0.017,46.06,0.02,0.165,IS,IS,IS,IS,IS
122,CNFD13007           ,65.25,77.525,612525.21,7737589.31,1327.25,1.58,0.02,45.4,0.13,0.02,0.024,31.0,0.1,0.81,IS,IS,IS,IG,IG
123,CNFD13007           ,77.525,89.8,612519.56,7737587.16,1316.57,0.811,0.03,42.804,0.053,0.049,0.035,36.095,0.033,0.55,IS,IS,IS,IS,IG
124,CNFD13007           ,89.8,108.71,612512.36,7737584.26,1303.05,0.877,0.052,46.957,0.084,2.598,0.035,26.181,0.044,1.421,IM,IM,IS,IG,IG
125,CNFD13007           ,129.86,141.962,612495.33,7737576.57,1271.52,0.24,0.03,39.7,0.05,0.08,0.016,42.9,0.03,0.17,IS,IS,IS,IS,IS
126,CNFD13007           ,141.962,154.064,612489.51,7737573.63,1261.33,0.184,0.039,32.108,0.05,0.024,0.021,54.01,0.021,0.253,IS,IS,IS,IS,IS
127,CNFD13007           ,154.064,166.166,612483.54,7737570.59,1251.24,0.275,0.03,34.001,0.05,0.051,0.02,50.942,0.027,0.272,IS,IS,IS,IS,IS
128,CNFD13007           ,166.166,178.268,612477.44,7737567.44,1241.28,0.504,0.021,40.471,0.055,0.249,0.018,39.363,0.023,0.545,IS,IS,IS,IS,IS
129,CNFD13007           ,178.268,190.37,612471.28,7737564.1,1231.41,0.68,0.03,42.6,0.12,0.48,0.025,36.4,0.06,0.73,IS,IS,IS,IS,IG
130,CNFD13007           ,190.37,203.37,612464.86,7737560.51,1221.24,0.94,0.03,25.3,0.14,0.67,0.033,60.0,0.06,1.16,IM,IS,IS,IS,IS
131,CNFD13007           ,237.45,249.087,612440.49,7737545.82,1184.6,0.34,0.02,28.0,0.14,0.28,0.014,59.3,0.02,0.44,IS,IS,IS,IS,IS
132,CNFD13007           ,249.087,260.725,612434.27,7737542.0,1175.54,0.358,0.011,36.386,0.122,0.123,0.013,46.213,0.029,0.311,IS,IS,IS,IS,IS
133,CNFD13007           ,260.725,272.363,612427.97,7737538.19,1166.53,0.44,0.026,34.526,0.144,0.15,0.019,49.525,0.03,0.364,IS,IS,IS,IS,IS
134,CNFD13007           ,272.363,284.0,612421.58,7737534.4,1157.57,1.237,0.023,29.432,0.171,0.187,0.029,55.481,0.071,0.978,IS,IS,IS,IS,IS
135,CNFD13008           ,23.75,37.12,612231.42,7737436.02,1428.73,1.129,0.069,27.977,0.05,0.23,0.036,58.151,0.039,0.612,IS,IS,IG,IS,IS
136,CNFD13008           ,37.12,50.49,612224.95,7737434.46,1417.13,0.429,0.049,34.648,0.05,0.234,0.027,48.725,0.007,0.337,IS,IS,IG,IS,IS
137,CNFD13008           ,50.49,63.86,612218.52,7737432.88,1405.52,0.97,0.039,42.175,0.05,0.131,0.028,37.432,0.039,0.653,IS,IS,IG,IG,IG
138,CNFD13008           ,63.86,77.23,612212.1,7737431.24,1393.9,1.571,0.03,43.538,0.05,0.101,0.056,35.189,0.026,1.192,IS,IS,IG,IG,IG
139,CNFD13008           ,77.23,90.6,612205.71,7737429.53,1382.28,1.762,0.023,44.513,0.05,0.047,0.075,30.987,0.048,2.357,IS,IS,IG,IG,IG
140,CNFD13008           ,93.75,105.33,612198.3,7737427.47,1368.68,3.41,0.04,42.6,0.11,0.05,0.076,32.0,0.12,3.01,IS,IG,IG,IG,IS
141,CNFD13008           ,177.0,189.781,612159.24,7737416.1,1295.36,0.428,0.037,32.806,0.05,0.109,0.045,50.539,0.005,1.739,IS,IS,IS,IS,IS
142,CNFD13008           ,189.781,202.563,612153.21,7737414.39,1284.22,0.45,0.037,35.135,0.05,0.117,0.047,47.365,0.005,1.924,IS,IS,IS,IS,IS
143,CNFD13008           ,202.563,215.344,612147.12,7737412.67,1273.12,0.421,0.04,34.017,0.05,0.135,0.063,48.866,0.008,2.133,IS,IS,IS,IS,IS
144,CNFD13008           ,215.344,228.126,612140.97,7737410.91,1262.05,0.416,0.034,31.664,0.05,0.138,0.058,53.297,0.016,1.95,IS,IS,IS,IS,IS
145,CNFD13008           ,228.126,240.907,612134.79,7737409.1,1251.01,0.42,0.054,32.59,0.05,0.136,0.045,52.364,0.02,1.374,IS,IS,IS,IS,IS
146,CNFD13008           ,240.907,253.689,612128.58,7737407.24,1240.0,0.502,0.047,35.13,0.05,0.128,0.038,46.902,0.02,1.155,IS,IS,IS,IS,IS
147,CNFD13008           ,253.689,266.47,612122.34,7737405.31,1229.01,2.632,0.03,46.567,0.05,0.087,0.028,29.018,0.045,1.696,IS,IS,IS,IG,IG
148,CNFD13008           ,266.47,284.9,612114.61,7737402.83,1215.68,7.139,0.04,53.49,0.05,0.046,0.144,8.182,0.181,6.813,IG,IG,IM,IR,IR
149,CNFD13008           ,284.9,297.9,612106.76,7737400.27,1202.31,1.22,0.04,51.7,0.05,0.07,0.092,20.9,0.12,2.56,IS,IG,IS,IG,IG
150,CNFD13008           ,297.9,310.9,612100.11,7737398.06,1191.36,0.88,0.03,41.9,0.05,0.05,0.038,36.0,0.05,1.17,IS,IS,IS,IG,IG
151,CNFD13008           ,310.9,325.7,612092.73,7737395.55,1179.85,0.65,0.035,38.999,0.086,0.872,0.042,38.353,0.02,2.005,IM,IS,IS,IS,IS
152,CNFD13008           ,325.7,341.25,612084.44,7737392.68,1167.47,0.168,0.03,35.371,0.05,0.356,0.028,46.382,0.005,1.395,IS,IS,IS,IS,IS
153,CNFD13008           ,341.25,354.817,612076.26,7737389.76,1155.79,0.314,0.03,33.175,0.05,0.126,0.033,50.108,0.02,1.101,IS,IS,IS,IS,IS
154,CNFD13008           ,354.817,368.383,612068.5,7737386.91,1145.03,0.41,0.022,34.883,0.05,0.052,0.027,47.858,0.011,0.534,IS,IS,IS,IS,IS
155,CNFD13008           ,368.383,381.95,612060.69,7737384.03,1134.32,0.535,0.035,36.288,0.05,0.175,0.033,44.712,0.015,1.706,IS,IS,IS,IS,IS
156,CNFD13009           ,3.0,17.61,612432.95,7737879.03,1382.73,0.428,0.02,37.894,0.05,0.004,0.036,45.104,0.005,0.509,IS,IS,IS,IS,IS
157,CNFD13009           ,17.61,30.185,612426.4,7737876.76,1371.04,0.347,0.02,35.401,0.05,0.005,0.044,49.996,0.006,0.578,IS,IS,IS,IS,IS
158,CNFD13009           ,30.185,42.76,612420.34,7737874.66,1360.22,0.84,0.03,44.0,0.05,0.03,0.103,35.6,0.02,1.37,IS,IS,IS,IG,IG
159,CNFD13009           ,42.76,60.07,612413.14,7737872.19,1347.37,3.287,0.02,40.312,0.05,0.02,0.074,37.964,0.216,1.974,IS,IS,IS,IG,IS
